playlist_id,playlist_name,total_tracks,avg_track_popularity
0cBagpPTUB8jtCggG7ZUbW,They are,17,NULL
0cPbYWjoEMCsyo6IaQmSGK,˚₊‧ . Jazz🎷⋆｡˚ ⋆,150,NULL
0eU3ubPAnqeSMi9K3YKVpC,Anxiety & Stress Relief,333,NULL
0eqsMTRu9NccER1U6hzLpG,HIGHEST PRAISE - African/Nigerian/ Top Naija Gospel/ Christian Dance Medley Playlist,45,NULL
0lJ4OodbPPytkymc7i9fpV,Africa Jungle Part 1,80,NULL
0mnWqdNjnmb0AqNmXzQ0Vz,"Tibetan Healing Music, Zen Meditation, Stress Relief, Relaxing Music, Tibetan Bowls, Indian Flute",255,NULL
0nBdTD4blUYFfb34S4eIzI,Alex Warren - Ordinary,26,NULL
0tbEVM823MYsq6iOM1UMgJ,they,14,NULL
0vHznOrheXFwZnOnTtOAie,RÜFÜS DU SOL - Inhale / Exhale,68,NULL
0vvXsWCC9xrXsKd4FyS8kM,Lofi Girl - beats to relax/study to,500,NULL
0wat7r5xG8EUmKbVHoNc5A,• jazz,337,NULL
10lifKl4b1AQ4LiIu4FJ6W,90s  DANCE CLUB HITS,76,NULL
11KuypNcTWLPbpcyEGbBge,Punk’s Not Dead,50,NULL
13mSKGefyqQctAigf2Eejm,Bob Marley Greatest Hits 2025,67,NULL
13sa9LdlWuPkj4DjSGyjGz,Teddy Swims - I've Tried Everything But Therapy (Part 2),67,NULL
15jlmMdOdpj9tbejFrFwFn,Asiah Songs,48,NULL
16QguuMuZbadn8Ll3exMpS,Bosa Nova Covers 2025 🌴 bossa nova music,326,NULL
19IxaTw7KuI5j9C8joPvH4,asia,155,NULL
1All5I9pyXjJ2ArZt4zuCX,NF Real Music Playlist,85,NULL
1D8YVYiePEOl8dq7m7ZF9L,Big Bootie Mixes (Vol. 1-25),822,NULL
1HVP7E8RkpieiGSxvATJbU,LOFI COVERS of popular songs 🌙 2025,374,NULL
1Kgkkup7w9qvGxGJGa75PS,Divorced Dad Rock: BANGERZ,96,NULL
1L1r2gqIjMYNzrpybyQowo,BEST OF AFRICAN BEATS 2023,109,NULL
1NAqXKzVITXohIanv5M2fp,Asian Electronic,87,NULL
1NRVqwiwCUdGmza9ND8Dc9,Most beautiful Quran recitations,176,NULL
1QcsybeUidDJIrPQTHS6dD,"Anime Lofi Playlist (for chill, study, sleep)",757,NULL
1S5RAZBzkW1UKXgI0EKJKd,Jazz🦅,114,NULL
1VWJjbN7LBzM6M4FG76ImT,Asian lofi・DREAMY,368,NULL
1XZziwW7BJQEBHewndZYx1,Trending OPM Hits 2025,330,NULL
1d4g4cPerKRleywglejPGe,Regine Velasquez - Greatest Hits by Gene,65,NULL
1dDBnMB8hg56RtFPgyuEpA,Africa,58,NULL
1fYx6s4pBo4g04mRLPV8gu,Kishore kumar top 50 song,65,NULL
1g0ObStnohqvNXeDhyXVE7,"60s, 70s, 80s Hindi Melodies (Bollywood Timeless Classics)",142,NULL
1h0CEZCm6IbFTbxThn6Xcs,Best Classical Music,233,NULL
1h7X42UUawuKy1ZbY3qkgA,Bob Dylan: Greatest Hits,54,NULL
1iusWdgZvlyO1T2VfZ7ShU,Sex Playlist (Slow Bedroom Music) 💋,57,NULL
1mwIluT6YC7UOrVfMNoowr,All Taylor Swift Songs,260,NULL
26YOxTFXweeLYW842QDtTv,Best of Bach,84,NULL
26Zi3qLKC9cAWDs7wbbSzc,jazz bar in nyc🎷,175,NULL
26xHk0w8Kpcq3eSBjmnAmu,Relaxing Chinese Traditional Music ,258,NULL
27Zm1P410dPfedsdoO9fqm,Classical Bangers 🎹🎻,422,NULL
295sjg2ddSClZhzExHh4dT,"Sushi Nights - Japanese Music | Traditional Asian Vibes, Peaceful Instrumental, Guitar, Piano, OSTs",156,NULL
2AN29mlw5R537AAQ3JlWDX,They can't chase us,3,NULL
2Al9G2jrWkwDlRFMZaw1GX,lofi Jazz Cafe 🎷Study Beats & Chill Vibes,380,NULL
2BWEZLEziAxPeFqXo55LZv,sound,389,NULL
2Gfz6aLyveRL53sKyUT8QX,Africa ,54,NULL
2Gw2LLh1ohBYCrx385We5D,Musique Pour Dormir 2025 😴,174,NULL
2JzFMgSZ07jeF7C2JJhevy,Cabane à sucre 🍁 Sugar Shack - Folklore Québécois,239,NULL
2OYSmpoGjjad0vGsQLiCxA,Sleep Music for Babies,245,NULL
2ay3iGTskLz3x9Z0EyPI5g,Punk,48,NULL
2bcugfGQVIUfXj9PvIRYsS,Nemzzz - RENT'S DUE (DELUXE),75,NULL
2bt8Ud6uOPDRXCFkOs82Yu,Coming out,476,NULL
2dYiFnp5et3xQq08IKLtHV,The Beach soundtrack,10,NULL
2jTy5QwqWJ1ZUv2XeJPYbn,Daft Punk Greatest Hits,13,NULL
2sWwKJKAznIkvjoFRJ3ag3,Calming Music + Nature Sounds,321,NULL
2sZYutAwhMODqCaS0mYj4Z,Instrumental Studying 🎻🕊️🎧📑🍵 (soft/no lyrics),84,NULL
2zC4n1gULzB3BpNFWBBgiL,PUNCK,44,NULL
30wSGnPtRQcjPTcH0Wx4eN,Piano Sleep 🌙 Relaxing Piano Music,38,NULL
30wdzfOKmW7JmLPiQI0BGC,Top Christian Worship Songs,127,NULL
31W777wHoBxvbv1qJrfhb7,Hazbin Hotel (ALL SONGS IN ORDER),16,NULL
33MWLJcVuAbiNb96lqxp3W,Best of Amrinder Gill ♥️,137,NULL
36DUMWypeO6Pbimw91NOny,11:11 (DELUXE) - Chris Brown,155,NULL
37sktwnER4qfx8RwQ5eqiB,Musique Relaxante 2025 - douce & calme,143,NULL
39SqXv5FCDAQ5lZP6KPt3V,Les Vrais Classiques Québécois,134,NULL
3FSvK3GkiECDMHeeIbbJIn,COUNTRY MUSIC 2024 🔥 Top Country Hits + New Country Songs,157,NULL
3HK7ijkfbOD4Qb3OJV4FWv,Green Day ((Best Of)),68,NULL
3HvgaZeBWbr7UjFeicPFRI,EPIC: The Musical (All songs in order),40,NULL
3HxQEgrgsqxFC3hpKobksf,Binaural Beats for Sleep,288,NULL
3IyxG0iFRtunooS7QBavII,They are,39,NULL
3Kjm0qsYzI5PRBQJT1CsIr,This,443,NULL
3PzdgFL9jCS4H71uR6y0iq,PUNK CLASSICS: 100 best songs,130,NULL
3bUcZL2GRzJZIiHJ6bB6yN,Violin Covers cause they're ethereal 🎻✨,34,NULL
